Skillset Name,Type,Skill Count,What It's For,Skills (Domain),Skills (Universal),Included Skills — GitHub Links,Source Repos,Install (all skills)
Product Design System,Product Design,8,"Extract, document, and enforce a component system so new work stops reinventing patterns.","extract-design-system, vercel-composition-patterns, normalize, theme-factory, web-design-guidelines, extract","writing-plans, find-skills","extract-design-system — https://github.com/arvindrk/extract-design-system
vercel-composition-patterns — https://github.com/vercel-labs/agent-skills
normalize — https://github.com/pbakaus/impeccable
theme-factory — https://github.com/anthropics/skills
web-design-guidelines — https://github.com/vercel-labs/agent-skills
extract — https://github.com/pbakaus/impeccable
writing-plans — https://github.com/obra/superpowers
find-skills — https://github.com/vercel-labs/skills","arvindrk/extract-design-system, vercel-labs/agent-skills, pbakaus/impeccable, anthropics/skills, obra/superpowers, vercel-labs/skills","npx skills add https://github.com/arvindrk/extract-design-system --skill extract-design-system
npx skills add https://github.com/vercel-labs/agent-skills --skill vercel-composition-patterns
npx skills add https://github.com/pbakaus/impeccable --skill normalize
npx skills add https://github.com/anthropics/skills --skill theme-factory
npx skills add https://github.com/vercel-labs/agent-skills --skill web-design-guidelines
npx skills add https://github.com/pbakaus/impeccable --skill extract
npx skills add https://github.com/obra/superpowers --skill writing-plans
npx skills add https://github.com/vercel-labs/skills --skill find-skills"
Product Design Critique & QA,Product Design,8,"Review pass on existing product UI — critique, audit, polish, then verify against the real app.","critique, audit, polish, ui-ux-pro-max, webapp-testing","verification-before-completion, zoom-out, grill-me","critique — https://github.com/pbakaus/impeccable
audit — https://github.com/pbakaus/impeccable
polish — https://github.com/pbakaus/impeccable
ui-ux-pro-max — https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
webapp-testing — https://github.com/anthropics/skills
verification-before-completion — https://github.com/obra/superpowers
zoom-out — https://github.com/mattpocock/skills
grill-me — https://github.com/mattpocock/skills","pbakaus/impeccable, nextlevelbuilder/ui-ux-pro-max-skill, anthropics/skills, obra/superpowers, mattpocock/skills","npx skills add https://github.com/pbakaus/impeccable --skill critique
npx skills add https://github.com/pbakaus/impeccable --skill audit
npx skills add https://github.com/pbakaus/impeccable --skill polish
npx skills add https://github.com/nextlevelbuilder/ui-ux-pro-max-skill --skill ui-ux-pro-max
npx skills add https://github.com/anthropics/skills --skill webapp-testing
npx skills add https://github.com/obra/superpowers --skill verification-before-completion
npx skills add https://github.com/mattpocock/skills --skill zoom-out
npx skills add https://github.com/mattpocock/skills --skill grill-me"
Mobile App Design Foundations,Mobile Design,8,"Design for real devices: safe areas, gestures, native conventions, and platform-appropriate layout.","sleek-design-mobile-apps, building-native-ui, ui-ux-pro-max, adapt, imagegen-frontend-mobile, frontend-design","grill-me, find-skills","sleek-design-mobile-apps — https://github.com/sleekdotdesign/agent-skills
building-native-ui — https://github.com/expo/skills
ui-ux-pro-max — https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
adapt — https://github.com/pbakaus/impeccable
imagegen-frontend-mobile — https://github.com/leonxlnx/taste-skill
frontend-design — https://github.com/anthropics/skills
grill-me — https://github.com/mattpocock/skills
find-skills — https://github.com/vercel-labs/skills","sleekdotdesign/agent-skills, expo/skills, nextlevelbuilder/ui-ux-pro-max-skill, pbakaus/impeccable, leonxlnx/taste-skill, anthropics/skills, mattpocock/skills, vercel-labs/skills","npx skills add https://github.com/sleekdotdesign/agent-skills --skill sleek-design-mobile-apps
npx skills add https://github.com/expo/skills --skill building-native-ui
npx skills add https://github.com/nextlevelbuilder/ui-ux-pro-max-skill --skill ui-ux-pro-max
npx skills add https://github.com/pbakaus/impeccable --skill adapt
npx skills add https://github.com/leonxlnx/taste-skill --skill imagegen-frontend-mobile
npx skills add https://github.com/anthropics/skills --skill frontend-design
npx skills add https://github.com/mattpocock/skills --skill grill-me
npx skills add https://github.com/vercel-labs/skills --skill find-skills"
React Native / Expo Build,Mobile Design,8,"Build the app — native UI primitives, styling, data fetching, and a plan-then-execute workflow.","vercel-react-native-skills, building-native-ui, expo-tailwind-setup, native-data-fetching, sleek-design-mobile-apps","writing-plans, executing-plans, systematic-debugging","vercel-react-native-skills — https://github.com/vercel-labs/agent-skills
building-native-ui — https://github.com/expo/skills
expo-tailwind-setup — https://github.com/expo/skills
native-data-fetching — https://github.com/expo/skills
sleek-design-mobile-apps — https://github.com/sleekdotdesign/agent-skills
writing-plans — https://github.com/obra/superpowers
executing-plans — https://github.com/obra/superpowers
systematic-debugging — https://github.com/obra/superpowers","vercel-labs/agent-skills, expo/skills, sleekdotdesign/agent-skills, obra/superpowers","npx skills add https://github.com/vercel-labs/agent-skills --skill vercel-react-native-skills
npx skills add https://github.com/expo/skills --skill building-native-ui
npx skills add https://github.com/expo/skills --skill expo-tailwind-setup
npx skills add https://github.com/expo/skills --skill native-data-fetching
npx skills add https://github.com/sleekdotdesign/agent-skills --skill sleek-design-mobile-apps
npx skills add https://github.com/obra/superpowers --skill writing-plans
npx skills add https://github.com/obra/superpowers --skill executing-plans
npx skills add https://github.com/obra/superpowers --skill systematic-debugging"
Mobile Motion & Gestures,Mobile Design,8,"Gesture handling, Reanimated patterns, and motion that feels native rather than web-ported.","sleek-design-mobile-apps, vercel-react-native-skills, animate, delight, emil-design-eng, building-native-ui","prototype, grill-me","sleek-design-mobile-apps — https://github.com/sleekdotdesign/agent-skills
vercel-react-native-skills — https://github.com/vercel-labs/agent-skills
animate — https://github.com/pbakaus/impeccable
delight — https://github.com/pbakaus/impeccable
emil-design-eng — https://github.com/emilkowalski/skills
building-native-ui — https://github.com/expo/skills
prototype — https://github.com/mattpocock/skills
grill-me — https://github.com/mattpocock/skills","sleekdotdesign/agent-skills, vercel-labs/agent-skills, pbakaus/impeccable, emilkowalski/skills, expo/skills, mattpocock/skills","npx skills add https://github.com/sleekdotdesign/agent-skills --skill sleek-design-mobile-apps
npx skills add https://github.com/vercel-labs/agent-skills --skill vercel-react-native-skills
npx skills add https://github.com/pbakaus/impeccable --skill animate
npx skills add https://github.com/pbakaus/impeccable --skill delight
npx skills add https://github.com/emilkowalski/skills --skill emil-design-eng
npx skills add https://github.com/expo/skills --skill building-native-ui
npx skills add https://github.com/mattpocock/skills --skill prototype
npx skills add https://github.com/mattpocock/skills --skill grill-me"
Mobile Polish & Ship,Mobile Design,8,"Pre-release pass: polish, harden, QA, SDK compatibility, and verification before you submit.","polish, harden, critique, upgrading-expo, sleek-design-mobile-apps, webapp-testing","qa, verification-before-completion","polish — https://github.com/pbakaus/impeccable
harden — https://github.com/pbakaus/impeccable
critique — https://github.com/pbakaus/impeccable
upgrading-expo — https://github.com/expo/skills
sleek-design-mobile-apps — https://github.com/sleekdotdesign/agent-skills
webapp-testing — https://github.com/anthropics/skills
qa — https://github.com/mattpocock/skills
verification-before-completion — https://github.com/obra/superpowers","pbakaus/impeccable, expo/skills, sleekdotdesign/agent-skills, anthropics/skills, mattpocock/skills, obra/superpowers","npx skills add https://github.com/pbakaus/impeccable --skill polish
npx skills add https://github.com/pbakaus/impeccable --skill harden
npx skills add https://github.com/pbakaus/impeccable --skill critique
npx skills add https://github.com/expo/skills --skill upgrading-expo
npx skills add https://github.com/sleekdotdesign/agent-skills --skill sleek-design-mobile-apps
npx skills add https://github.com/anthropics/skills --skill webapp-testing
npx skills add https://github.com/mattpocock/skills --skill qa
npx skills add https://github.com/obra/superpowers --skill verification-before-completion"
Design Engineering Core,Design Engineering,8,The everyday design-engineer stack — craft sensibility plus idiomatic React and interface guidelines.,"emil-design-eng, frontend-design, web-design-guidelines, vercel-composition-patterns, vercel-react-best-practices, polish","grill-with-docs, grill-me","emil-design-eng — https://github.com/emilkowalski/skills
frontend-design — https://github.com/anthropics/skills
web-design-guidelines — https://github.com/vercel-labs/agent-skills
vercel-composition-patterns — https://github.com/vercel-labs/agent-skills
vercel-react-best-practices — https://github.com/vercel-labs/agent-skills
polish — https://github.com/pbakaus/impeccable
grill-with-docs — https://github.com/mattpocock/skills
grill-me — https://github.com/mattpocock/skills","emilkowalski/skills, anthropics/skills, vercel-labs/agent-skills, pbakaus/impeccable, mattpocock/skills","npx skills add https://github.com/emilkowalski/skills --skill emil-design-eng
npx skills add https://github.com/anthropics/skills --skill frontend-design
npx skills add https://github.com/vercel-labs/agent-skills --skill web-design-guidelines
npx skills add https://github.com/vercel-labs/agent-skills --skill vercel-composition-patterns
npx skills add https://github.com/vercel-labs/agent-skills --skill vercel-react-best-practices
npx skills add https://github.com/pbakaus/impeccable --skill polish
npx skills add https://github.com/mattpocock/skills --skill grill-with-docs
npx skills add https://github.com/mattpocock/skills --skill grill-me"
Design-to-Code Translation,Design Engineering,8,"Turn a mock, screenshot, or design system into faithful code that matches the spec.","image-to-code, extract-design-system, frontend-design, web-design-guidelines, design-taste-frontend, normalize","agent-browser, find-skills","image-to-code — https://github.com/leonxlnx/taste-skill
extract-design-system — https://github.com/arvindrk/extract-design-system
frontend-design — https://github.com/anthropics/skills
web-design-guidelines — https://github.com/vercel-labs/agent-skills
design-taste-frontend — https://github.com/leonxlnx/taste-skill
normalize — https://github.com/pbakaus/impeccable
agent-browser — https://github.com/vercel-labs/agent-browser
find-skills — https://github.com/vercel-labs/skills","leonxlnx/taste-skill, arvindrk/extract-design-system, anthropics/skills, vercel-labs/agent-skills, pbakaus/impeccable, vercel-labs/agent-browser, vercel-labs/skills","npx skills add https://github.com/leonxlnx/taste-skill --skill image-to-code
npx skills add https://github.com/arvindrk/extract-design-system --skill extract-design-system
npx skills add https://github.com/anthropics/skills --skill frontend-design
npx skills add https://github.com/vercel-labs/agent-skills --skill web-design-guidelines
npx skills add https://github.com/leonxlnx/taste-skill --skill design-taste-frontend
npx skills add https://github.com/pbakaus/impeccable --skill normalize
npx skills add https://github.com/vercel-labs/agent-browser --skill agent-browser
npx skills add https://github.com/vercel-labs/skills --skill find-skills"
Rapid Prototyping & Iteration,Design Engineering,8,"Go from idea to a shareable deployed prototype fast, then hand off cleanly.","design-taste-frontend, frontend-design, web-artifacts-builder, imagegen-frontend-web, deploy-to-vercel","prototype, brainstorming, handoff","prototype — https://github.com/mattpocock/skills
design-taste-frontend — https://github.com/leonxlnx/taste-skill
frontend-design — https://github.com/anthropics/skills
web-artifacts-builder — https://github.com/anthropics/skills
imagegen-frontend-web — https://github.com/leonxlnx/taste-skill
deploy-to-vercel — https://github.com/vercel-labs/agent-skills
brainstorming — https://github.com/obra/superpowers
handoff — https://github.com/mattpocock/skills","mattpocock/skills, leonxlnx/taste-skill, anthropics/skills, vercel-labs/agent-skills, obra/superpowers","npx skills add https://github.com/mattpocock/skills --skill prototype
npx skills add https://github.com/leonxlnx/taste-skill --skill design-taste-frontend
npx skills add https://github.com/anthropics/skills --skill frontend-design
npx skills add https://github.com/anthropics/skills --skill web-artifacts-builder
npx skills add https://github.com/leonxlnx/taste-skill --skill imagegen-frontend-web
npx skills add https://github.com/vercel-labs/agent-skills --skill deploy-to-vercel
npx skills add https://github.com/obra/superpowers --skill brainstorming
npx skills add https://github.com/mattpocock/skills --skill handoff"
Design Eng Ship & Handoff,Design Engineering,9,"Close the branch properly: review, QA, hardening, deploy, and git guardrails.","harden, deploy-to-vercel, webapp-testing","code-review, qa, handoff, verification-before-completion, git-guardrails-claude-code, triage","code-review — https://github.com/mattpocock/skills
qa — https://github.com/mattpocock/skills
handoff — https://github.com/mattpocock/skills
verification-before-completion — https://github.com/obra/superpowers
harden — https://github.com/pbakaus/impeccable
deploy-to-vercel — https://github.com/vercel-labs/agent-skills
webapp-testing — https://github.com/anthropics/skills
git-guardrails-claude-code — https://github.com/mattpocock/skills
triage — https://github.com/mattpocock/skills","mattpocock/skills, obra/superpowers, pbakaus/impeccable, vercel-labs/agent-skills, anthropics/skills","npx skills add https://github.com/mattpocock/skills --skill code-review
npx skills add https://github.com/mattpocock/skills --skill qa
npx skills add https://github.com/mattpocock/skills --skill handoff
npx skills add https://github.com/obra/superpowers --skill verification-before-completion
npx skills add https://github.com/pbakaus/impeccable --skill harden
npx skills add https://github.com/vercel-labs/agent-skills --skill deploy-to-vercel
npx skills add https://github.com/anthropics/skills --skill webapp-testing
npx skills add https://github.com/mattpocock/skills --skill git-guardrails-claude-code
npx skills add https://github.com/mattpocock/skills --skill triage"
